DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,q_t+1
0,1,0.9,0.4,0,0.1,0,469,1,1,0.9,0.4,0,0.1,0,557.79,1,1,0.9,0.4,0,0.1,0,547.25,0,0,0.9,0.4,0,0.1,0,488.5,0,0,0.9,0.4,0,0.1,0,488.5,0,0,0.9,0.4,0,0.1,0,429.75,0,0,0.9,0.4,0,0.1,0,371,0,0,0.9,0.4,0,0.1,0,345.33,0,0,0.9,0.4,0,0.1,0,319.66,0,0,0.9,0.4,0,0.1,0,294,0,0,0.9,0.1,0,0.1,0,268.33,0,0,0.9,0.1,0.5,0.85,0,242.66,217
1,1,0.9,0.4,0,0.1,0,557.79,1,1,0.9,0.4,0,0.1,0,547.25,0,0,0.9,0.4,0,0.1,0,488.5,0,0,0.9,0.4,0,0.1,0,429.75,0,0,0.9,0.4,0,0.1,0,429.75,0,0,0.9,0.4,0,0.1,0,371,0,0,0.9,0.4,0,0.1,0,345.33,0,0,0.9,0.4,0,0.1,0,319.66,0,0,0.9,0.4,0,0.1,0,294,0,0,0.9,0.1,0,0.1,0,268.33,0,0,0.9,0.1,0.5,0.85,0,242.66,0,0,0.9,0.1,0.5,0.85,0,217,210
1,1,0.9,0.4,0,0.1,0,547.25,0,0,0.9,0.4,0,0.1,0,488.5,0,0,0.9,0.4,0,0.1,0,429.75,0,0,0.9,0.4,0,0.1,0,371,0,0,0.9,0.4,0,0.1,0,371,0,0,0.9,0.4,0,0.1,0,345.33,0,0,0.9,0.4,0,0.1,0,319.66,0,0,0.9,0.4,0,0.1,0,294,0,0,0.9,0.1,0,0.1,0,268.33,0,0,0.9,0.1,0.5,0.85,0,242.66,0,0,0.9,0.1,0.5,0.85,0,217,0,0,0.7,0.5,0.3,0.2,0.7,210,200.61
0,0,0.9,0.4,0,0.1,0,488.5,0,0,0.9,0.4,0,0.1,0,429.75,0,0,0.9,0.4,0,0.1,0,371,0,0,0.9,0.4,0,0.1,0,345.33,0,0,0.9,0.4,0,0.1,0,345.33,0,0,0.9,0.4,0,0.1,0,319.66,0,0,0.9,0.4,0,0.1,0,294,0,0,0.9,0.1,0,0.1,0,268.33,0,0,0.9,0.1,0.5,0.85,0,242.66,0,0,0.9,0.1,0.5,0.85,0,217,0,0,0.7,0.5,0.3,0.2,0.7,210,0,0,0.7,0.5,0.3,0.2,0.7,200.61,191.23
0,0,0.9,0.4,0,0.1,0,429.75,0,0,0.9,0.4,0,0.1,0,371,0,0,0.9,0.4,0,0.1,0,345.33,0,0,0.9,0.4,0,0.1,0,319.66,0,0,0.9,0.4,0,0.1,0,319.66,0,0,0.9,0.4,0,0.1,0,294,0,0,0.9,0.1,0,0.1,0,268.33,0,0,0.9,0.1,0.5,0.85,0,242.66,0,0,0.9,0.1,0.5,0.85,0,217,0,0,0.7,0.5,0.3,0.2,0.7,210,0,0,0.7,0.5,0.3,0.2,0.7,200.61,0,0,0.7,0.5,0.3,0.2,0.7,191.23,181.84
0,0,0.9,0.4,0,0.1,0,371,0,0,0.9,0.4,0,0.1,0,345.33,0,0,0.9,0.4,0,0.1,0,319.66,0,0,0.9,0.4,0,0.1,0,294,0,0,0.9,0.4,0,0.1,0,294,0,0,0.9,0.1,0,0.1,0,268.33,0,0,0.9,0.1,0.5,0.85,0,242.66,0,0,0.9,0.1,0.5,0.85,0,217,0,0,0.7,0.5,0.3,0.2,0.7,210,0,0,0.7,0.5,0.3,0.2,0.7,200.61,0,0,0.7,0.5,0.3,0.2,0.7,191.23,0,0,0.63,0.8,0.3,0.2,0,181.84,172.46
0,0,0.9,0.4,0,0.1,0,345.33,0,0,0.9,0.4,0,0.1,0,319.66,0,0,0.9,0.4,0,0.1,0,294,0,0,0.9,0.1,0,0.1,0,268.33,0,0,0.9,0.1,0,0.1,0,268.33,0,0,0.9,0.1,0.5,0.85,0,242.66,0,0,0.9,0.1,0.5,0.85,0,217,0,0,0.7,0.5,0.3,0.2,0.7,210,0,0,0.7,0.5,0.3,0.2,0.7,200.61,0,0,0.7,0.5,0.3,0.2,0.7,191.23,0,0,0.63,0.8,0.3,0.2,0,181.84,4,6,0.63,4.1,0.3,0.4,0,172.46,163.07
0,0,0.9,0.4,0,0.1,0,319.66,0,0,0.9,0.4,0,0.1,0,294,0,0,0.9,0.1,0,0.1,0,268.33,0,0,0.9,0.1,0.5,0.85,0,242.66,0,0,0.9,0.1,0.5,0.85,0,242.66,0,0,0.9,0.1,0.5,0.85,0,217,0,0,0.7,0.5,0.3,0.2,0.7,210,0,0,0.7,0.5,0.3,0.2,0.7,200.61,0,0,0.7,0.5,0.3,0.2,0.7,191.23,0,0,0.63,0.8,0.3,0.2,0,181.84,4,6,0.63,4.1,0.3,0.4,0,172.46,4,6,0.63,4.1,0.3,0.4,0,163.07,153.69
0,0,0.9,0.4,0,0.1,0,294,0,0,0.9,0.1,0,0.1,0,268.33,0,0,0.9,0.1,0.5,0.85,0,242.66,0,0,0.9,0.1,0.5,0.85,0,217,0,0,0.9,0.1,0.5,0.85,0,217,0,0,0.7,0.5,0.3,0.2,0.7,210,0,0,0.7,0.5,0.3,0.2,0.7,200.61,0,0,0.7,0.5,0.3,0.2,0.7,191.23,0,0,0.63,0.8,0.3,0.2,0,181.84,4,6,0.63,4.1,0.3,0.4,0,172.46,4,6,0.63,4.1,0.3,0.4,0,163.07,8,0,0.63,0.2,0,4.2,0,153.69,152.42
0,0,0.9,0.1,0,0.1,0,268.33,0,0,0.9,0.1,0.5,0.85,0,242.66,0,0,0.9,0.1,0.5,0.85,0,217,0,0,0.7,0.5,0.3,0.2,0.7,210,0,0,0.7,0.5,0.3,0.2,0.7,210,0,0,0.7,0.5,0.3,0.2,0.7,200.61,0,0,0.7,0.5,0.3,0.2,0.7,191.23,0,0,0.63,0.8,0.3,0.2,0,181.84,4,6,0.63,4.1,0.3,0.4,0,172.46,4,6,0.63,4.1,0.3,0.4,0,163.07,8,0,0.63,0.2,0,4.2,0,153.69,13,4,1.2,7.5,9,11.1,11,152.42,159.28
0,0,0.9,0.1,0.5,0.85,0,242.66,0,0,0.9,0.1,0.5,0.85,0,217,0,0,0.7,0.5,0.3,0.2,0.7,210,0,0,0.7,0.5,0.3,0.2,0.7,200.61,0,0,0.7,0.5,0.3,0.2,0.7,200.61,0,0,0.7,0.5,0.3,0.2,0.7,191.23,0,0,0.63,0.8,0.3,0.2,0,181.84,4,6,0.63,4.1,0.3,0.4,0,172.46,4,6,0.63,4.1,0.3,0.4,0,163.07,8,0,0.63,0.2,0,4.2,0,153.69,13,4,1.2,7.5,9,11.1,11,152.42,13,4,1.2,7.5,9,11.1,11,159.28,166.14
0,0,0.9,0.1,0.5,0.85,0,217,0,0,0.7,0.5,0.3,0.2,0.7,210,0,0,0.7,0.5,0.3,0.2,0.7,200.61,0,0,0.7,0.5,0.3,0.2,0.7,191.23,0,0,0.7,0.5,0.3,0.2,0.7,191.23,0,0,0.63,0.8,0.3,0.2,0,181.84,4,6,0.63,4.1,0.3,0.4,0,172.46,4,6,0.63,4.1,0.3,0.4,0,163.07,8,0,0.63,0.2,0,4.2,0,153.69,13,4,1.2,7.5,9,11.1,11,152.42,13,4,1.2,7.5,9,11.1,11,159.28,1.3,0,4.4,0.9,1,0.9,1.5,166.14,173
0,0,0.7,0.5,0.3,0.2,0.7,210,0,0,0.7,0.5,0.3,0.2,0.7,200.61,0,0,0.7,0.5,0.3,0.2,0.7,191.23,0,0,0.63,0.8,0.3,0.2,0,181.84,0,0,0.63,0.8,0.3,0.2,0,181.84,4,6,0.63,4.1,0.3,0.4,0,172.46,4,6,0.63,4.1,0.3,0.4,0,163.07,8,0,0.63,0.2,0,4.2,0,153.69,13,4,1.2,7.5,9,11.1,11,152.42,13,4,1.2,7.5,9,11.1,11,159.28,1.3,0,4.4,0.9,1,0.9,1.5,166.14,1.3,2,1.05,0.9,1,3.5,1.5,173,198.1
0,0,0.7,0.5,0.3,0.2,0.7,200.61,0,0,0.7,0.5,0.3,0.2,0.7,191.23,0,0,0.63,0.8,0.3,0.2,0,181.84,4,6,0.63,4.1,0.3,0.4,0,172.46,4,6,0.63,4.1,0.3,0.4,0,172.46,4,6,0.63,4.1,0.3,0.4,0,163.07,8,0,0.63,0.2,0,4.2,0,153.69,13,4,1.2,7.5,9,11.1,11,152.42,13,4,1.2,7.5,9,11.1,11,159.28,1.3,0,4.4,0.9,1,0.9,1.5,166.14,1.3,2,1.05,0.9,1,3.5,1.5,173,1.3,2,1.05,0.9,1,3.5,1.5,198.1,223.21
0,0,0.7,0.5,0.3,0.2,0.7,191.23,0,0,0.63,0.8,0.3,0.2,0,181.84,4,6,0.63,4.1,0.3,0.4,0,172.46,4,6,0.63,4.1,0.3,0.4,0,163.07,4,6,0.63,4.1,0.3,0.4,0,163.07,8,0,0.63,0.2,0,4.2,0,153.69,13,4,1.2,7.5,9,11.1,11,152.42,13,4,1.2,7.5,9,11.1,11,159.28,1.3,0,4.4,0.9,1,0.9,1.5,166.14,1.3,2,1.05,0.9,1,3.5,1.5,173,1.3,2,1.05,0.9,1,3.5,1.5,198.1,0.3,0.3,0.1,0.5,0,0.63,0,223.21,248.31
0,0,0.63,0.8,0.3,0.2,0,181.84,4,6,0.63,4.1,0.3,0.4,0,172.46,4,6,0.63,4.1,0.3,0.4,0,163.07,8,0,0.63,0.2,0,4.2,0,153.69,8,0,0.63,0.2,0,4.2,0,153.69,13,4,1.2,7.5,9,11.1,11,152.42,13,4,1.2,7.5,9,11.1,11,159.28,1.3,0,4.4,0.9,1,0.9,1.5,166.14,1.3,2,1.05,0.9,1,3.5,1.5,173,1.3,2,1.05,0.9,1,3.5,1.5,198.1,0.3,0.3,0.1,0.5,0,0.63,0,223.21,0.3,0.3,0.1,0.5,0.5,0.63,0,248.31,273.42
4,6,0.63,4.1,0.3,0.4,0,172.46,4,6,0.63,4.1,0.3,0.4,0,163.07,8,0,0.63,0.2,0,4.2,0,153.69,13,4,1.2,7.5,9,11.1,11,152.42,13,4,1.2,7.5,9,11.1,11,152.42,13,4,1.2,7.5,9,11.1,11,159.28,1.3,0,4.4,0.9,1,0.9,1.5,166.14,1.3,2,1.05,0.9,1,3.5,1.5,173,1.3,2,1.05,0.9,1,3.5,1.5,198.1,0.3,0.3,0.1,0.5,0,0.63,0,223.21,0.3,0.3,0.1,0.5,0.5,0.63,0,248.31,0.3,0.3,0.1,0.5,0.5,0.63,0,273.42,286
4,6,0.63,4.1,0.3,0.4,0,163.07,8,0,0.63,0.2,0,4.2,0,153.69,13,4,1.2,7.5,9,11.1,11,152.42,13,4,1.2,7.5,9,11.1,11,159.28,13,4,1.2,7.5,9,11.1,11,159.28,1.3,0,4.4,0.9,1,0.9,1.5,166.14,1.3,2,1.05,0.9,1,3.5,1.5,173,1.3,2,1.05,0.9,1,3.5,1.5,198.1,0.3,0.3,0.1,0.5,0,0.63,0,223.21,0.3,0.3,0.1,0.5,0.5,0.63,0,248.31,0.3,0.3,0.1,0.5,0.5,0.63,0,273.42,0.3,0.3,0.33,0.37,0.3,0.63,0.3,286,277.5
8,0,0.63,0.2,0,4.2,0,153.69,13,4,1.2,7.5,9,11.1,11,152.42,13,4,1.2,7.5,9,11.1,11,159.28,1.3,0,4.4,0.9,1,0.9,1.5,166.14,1.3,0,4.4,0.9,1,0.9,1.5,166.14,1.3,2,1.05,0.9,1,3.5,1.5,173,1.3,2,1.05,0.9,1,3.5,1.5,198.1,0.3,0.3,0.1,0.5,0,0.63,0,223.21,0.3,0.3,0.1,0.5,0.5,0.63,0,248.31,0.3,0.3,0.1,0.5,0.5,0.63,0,273.42,0.3,0.3,0.33,0.37,0.3,0.63,0.3,286,0.3,0.3,0.33,0.37,0.3,0.63,0.3,277.5,269
13,4,1.2,7.5,9,11.1,11,152.42,13,4,1.2,7.5,9,11.1,11,159.28,1.3,0,4.4,0.9,1,0.9,1.5,166.14,1.3,2,1.05,0.9,1,3.5,1.5,173,1.3,2,1.05,0.9,1,3.5,1.5,173,1.3,2,1.05,0.9,1,3.5,1.5,198.1,0.3,0.3,0.1,0.5,0,0.63,0,223.21,0.3,0.3,0.1,0.5,0.5,0.63,0,248.31,0.3,0.3,0.1,0.5,0.5,0.63,0,273.42,0.3,0.3,0.33,0.37,0.3,0.63,0.3,286,0.3,0.3,0.33,0.37,0.3,0.63,0.3,277.5,0.3,0.3,0.33,0.37,0.3,0.63,0.3,269,260.5
13,4,1.2,7.5,9,11.1,11,159.28,1.3,0,4.4,0.9,1,0.9,1.5,166.14,1.3,2,1.05,0.9,1,3.5,1.5,173,1.3,2,1.05,0.9,1,3.5,1.5,198.1,1.3,2,1.05,0.9,1,3.5,1.5,198.1,0.3,0.3,0.1,0.5,0,0.63,0,223.21,0.3,0.3,0.1,0.5,0.5,0.63,0,248.31,0.3,0.3,0.1,0.5,0.5,0.63,0,273.42,0.3,0.3,0.33,0.37,0.3,0.63,0.3,286,0.3,0.3,0.33,0.37,0.3,0.63,0.3,277.5,0.3,0.3,0.33,0.37,0.3,0.63,0.3,269,0,0,0.3,0.15,0,0.63,0.3,260.5,252
